"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"6920","Joseph Mullinax","US","Region 2","Virginias","288","45","5","7","31","77","12","5694","1213","2.77","B 3.29","1388","1350","546","8959","358789"
"6921","Mason Hausman","US","Region 3","Midwest","81","12","5","6","42","23","12","1570","387","1.88","A 2.24","1388","1350","32","3418","423131"
"6922","Larry Burns","US","Region 6","Michigan","62","1","8","7","38","8","12","1476","24","3.45","B 2.44","1388","1258","132","2373","425545"
"6923","Ryan M Thomas","US","Region 1","Carolina","73","5","7","7","41","15","13","1714","229","4.16","B 2.42","1388","1350","30","2981","436575"
"6924","Daniel Kelly8","US","Region 1","Mid-South","140","6","8","7","38","22","13","3527","198","3.49","A 1.99","1388","1325","67","5358","464733"
"6925","Steven Prosser","US","Region 2","Ohio","77","0","8","7","32","4","13","1982","35","4.86","B 2.56","1388","1236","164","2489","492406"
"6926","Shannon Blackburn","AU","Region 1","Australia/NZ","64","1","9","7","41","7","13","1556","11","3.22","B 3.13","1388","1189","19","2655","498675"
"6927","Justin Parkinson","AU","Region 1","Australia/NZ","41","2","6","6","41","6","11","867","40","2.54","B 2.46","1387","1350","35","1672","62670"
"6928","Michael acord","US","Region 6","Michigan","144","11","7","7","34","36","12","3435","311","3.54","B 1.78","1387","1220","844","4930","119868"
"6929","William Gray6","US","Region 3","Georgia","7","0","10","7","42","0","13","155","0","2","A 2.83","1387","1350","14","294","205274"
"6930","Brandon Blakesley","GB","Region 3","UK and I","5","1","6","6","49","1","13","124","27","2.4","B 2.41","1387","1350","26","244","228628"
"6931","Andrew Thomas3","US","N/A","Texas","26","2","7","6","40","2","11","788","68","3.15","B 2.14","1387","1350","34","1042","289566"
"6932","Jayson Martin","US","Region 1","Carolina","69","4","7","7","32","10","12","1696","53","2.72","A 2.51","1387","1260","190","2232","296203"
"6933","Craig Booth2","CA","Region 2","Canada","158","4","8","7","30","18","12","3783","90","2.62","B 2.38","1387","1231","195","4785","301448"
"6934","Andrew Holcomb","US","Region 1","New York","71","3","7","6","44","9","11","1725","41","1.63","B 3.50","1387","1350","387","3153","309537"
"6935","Jordan Grant2","CA","Region 2","Canada","64","5","7","6","37","10","12","1598","78","2.78","B 3.32","1387","1350","33","2369","392451"
"6936","Christian Waldeck","DE","Region 2","DE-AT-CH","46","5","4","6","37","7","11","1020","191","3.3","B 2.58","1387","1198","90","1692","411095"
"6937","Steven Latham","AU","Region 1","Australia/NZ","270","18","6","7","42","52","12","6242","740","3.67","B 3.48","1387","1159","44","11431","418194"
"6938","John King Jr.","US","Region 4","Pennsylvania","184","5","7","7","33","34","12","4096","207","3.79","B 2.54","1387","1277","231","6045","420405"
"6939","Alvin Clark","US","Region 4","Pennsylvania","248","11","6","7","35","48","13","6351","843","3.77","B 4.18","1387","1141","139","8558","421182"
"6940","Andrew Christiansen","US","Region 1","Carolina","99","2","7","7","38","25","14","2415","141","2.06","B 4.20","1387","1350","31","3734","432743"
"6941","Dave Kraige","US","Region 4","Pennsylvania","23","1","8","6","39","3","11","474","13","2.35","B 3.55","1387","1185","9","887","489352"
"6942","Billy Smith II","US","Region 2","Texas","10","1","5","8","44","3","14","269","41","3.2","B 2.42","1386","1350","25","443","24410"
"6943","Ryan Eckstein","US","Region 5","Illinois","50","3","8","7","34","9","12","1104","46","2.32","A 2.20","1386","1160","67","1712","49211"
"6944","Matt Worley","US","Region 5","Atlantic","99","3","9","7","41","13","13","2790","54","1.72","B 4.62","1386","1350","263","4077","107643"
"6945","Pier-Carl Grenier","CA","N/A","Canada","199","13","8","7","31","31","12","4475","334","2.81","B 2.46","1386","1249","1106","6084","245506"
"6946","Justin Bagley","US","Region 5","Illinois","202","2","8","8","34","16","13","4905","132","3.18","B 2.63","1386","1350","2016","6811","247297"
"6947","Shane Loveridge","AU","Region 1","Australia/NZ","33","3","7","7","43","6","14","822","75","1.52","B 3.81","1386","1350","6","1424","267491"
"6948","Jeffrey Wilhite","US","Region 1","Mid-South","63","3","6","6","35","7","10","1325","72","1.14","B 4.89","1386","1018","29","2229","352475"
"6949","Clint Leatherwood","US","Region 1","Carolina","22","3","5","7","40","8","13","414","77","2.27","A 2.60","1386","1350","13","870","444301"
"6950","Josh Grimes","US","Region 1","Mid-South","24","1","8","7","39","4","12","486","3","2.75","B 2.36","1386","1187","15","942","453096"
"6951","Justin Bren","US","Region 5","New England","37","1","6","6","40","8","11","775","81","3.08","B 2.52","1385","1350","3","1486","37057"
